well_id,api_formatted,compl_date
604676,42-301-32389,3/30/2015
610186,42-301-31610,9/14/2011
610497,42-301-31906,5/15/2013
610585,42-301-32093,7/14/2014
611069,42-301-32613,1/31/2016
622234,42-389-35049,2/21/2016
623572,42-301-31596,11/19/2011
623928,42-301-32024,10/22/2013
624179,42-301-32388,4/4/2015
624267,42-301-32540,4/2/2017
624378,42-301-32737,4/6/2016
624407,42-301-32059,4/7/2014
624481,42-301-31773,12/17/2012
624792,42-301-32611,1/23/2016
624912,42-301-32828,4/27/2016
625588,42-301-32733,4/5/2016
625659,42-301-31762,3/15/2013
625662,42-301-31775,8/23/2012
625770,42-301-32120,9/5/2014
631708,42-475-35452,1/1/2009
631819,42-475-35809,9/1/2011
632350,42-475-36647,9/14/2014
632508,42-475-36785,6/28/2015
635343,42-389-33834,11/13/2013
635349,42-389-33877,12/2/2013
635767,42-389-34483,5/9/2017
636253,42-389-35007,7/28/2017
639615,42-371-39366,2/26/2016
643216,42-389-34777,6/29/2015
643220,42-389-34809,4/29/2016
643346,42-389-34856,8/18/2015
643360,42-389-34974,8/28/2016
644730,42-389-32873,9/19/2011
644969,42-389-33720,8/16/2014
645111,42-389-33542,4/26/2013
645153,42-389-33942,5/29/2014
645381,42-389-34091,8/3/2014
645580,42-389-33903,3/21/2014
645744,42-389-34607,12/20/2015
645787,42-389-34326,10/23/2014
645797,42-389-34409,3/1/2015
645875,42-389-34096,11/18/2014
645954,42-389-34360,1/15/2015
645995,42-389-34791,8/6/2015
646092,42-389-34566,3/26/2015
646096,42-389-34604,4/19/2015
646210,42-389-34752,4/26/2015
646220,42-389-35084,4/19/2016
648787,42-371-39274,2/3/2017
655545,42-475-36424,9/13/2013
655728,42-475-36784,10/25/2014
655739,42-475-36858,4/19/2015
660126,42-475-36664,7/30/2014
660254,42-475-35951,5/3/2012
660613,42-475-36491,12/17/2013
661063,42-475-37050,8/12/2016
665999,42-495-33618,1/24/2015
674220,42-475-36238,3/6/2013
674431,42-475-36459,10/24/2013
674434,42-475-36469,11/1/2013
731080,30-015-39355,8/14/2014
731367,30-025-40431,10/12/2012
731387,30-025-40732,5/19/2013
731401,30-025-40943,10/2/2013
731463,30-025-41896,1/26/2015
731464,30-025-41898,11/14/2014
731475,30-025-42037,7/16/2015
746689,42-301-32037,7/24/2014
749798,42-389-34695,4/25/2015
749833,42-389-35015,2/21/2017
751516,42-475-36218,12/11/2012
751546,42-475-36458,8/5/2013
1066028,30-015-35820,1/22/2008
1066484,30-015-36287,12/1/2011
1066958,30-015-36775,3/27/2009
1067000,30-015-36827,2/11/2010
1067220,30-015-37064,8/12/2009
1067290,30-015-37141,10/22/2009
1067670,30-015-37549,11/19/2010
1067705,30-015-37589,9/30/2010
1068531,30-015-38475,12/21/2011
1068617,30-015-38594,8/30/2011
1068678,30-015-38666,12/17/2011
1069726,30-015-41409,12/10/2015
1070190,30-015-42346,1/24/2016
1070258,30-015-42470,7/25/2016
1070319,30-015-42574,7/22/2016
1070369,30-015-42646,2/6/2016
1070428,30-015-42734,12/16/2015
1070630,30-015-43006,10/5/2015
1070748,30-015-43136,10/24/2015
1070843,30-015-43238,12/14/2015
1103483,30-025-39531,5/2/2010
1103854,30-025-39911,8/25/2011
1103972,30-025-40040,8/16/2011
1104408,30-025-40812,2/3/2013
1104747,30-025-41616,12/25/2014
1104952,30-025-41975,7/7/2015
1104960,30-025-41984,6/23/2016
1105141,30-025-42228,7/24/2015
1105143,30-025-42230,1/4/2017
1105186,30-025-42285,7/9/2015
1105205,30-025-42311,7/25/2015
1105266,30-025-42398,3/16/2018
1105616,30-025-42788,12/10/2015
1105617,30-025-42789,1/9/2016
1105712,30-025-42885,11/26/2015
1105723,30-025-42896,4/20/2017
2979911,42-475-35623,10/19/2011
3034103,42-475-35198,6/30/2007
3091069,42-475-33132,9/7/2007
3115173,42-495-33238,7/24/2007
3229832,42-389-35117,7/16/2016
3231126,42-301-32846,4/8/2016
3232102,42-109-32931,1/21/2017
3232608,42-301-32857,7/30/2017
3241282,30-025-43087,6/29/2016
3241373,42-301-32862,10/7/2017
3491957,42-495-33723,8/7/2016
3495587,30-015-43708,1/19/2017
3555627,42-301-32900,12/25/2016
3700146,42-389-35237,12/9/2016
3700517,42-389-35200,10/3/2016
3700869,30-025-43233,6/21/2018
3701618,42-389-35224,9/13/2016
3757812,30-025-43298,1/16/2017
3757889,42-389-35257,4/13/2017
3757961,42-389-35275,1/30/2017
3758276,42-389-35284,1/30/2017
3758380,30-015-43841,10/6/2016
3759796,30-025-43338,12/9/2016
3822988,42-301-32971,11/7/2016
3823051,42-389-35314,4/19/2017
3824341,42-389-35305,8/1/2017
3868994,42-475-37120,9/6/2017
3869273,42-475-37123,11/11/2016
3869550,42-389-35360,2/10/2017
3871721,42-389-35375,8/11/2017
3872283,42-301-33016,12/2/2017
3872309,42-389-35398,6/15/2017
3875078,42-301-33065,8/16/2017
3875195,42-389-35481,5/19/2017
3903517,42-389-35494,4/18/2017
4133082,30-015-43958,2/18/2017
4133091,30-015-43967,3/27/2017
4136584,42-389-35539,1/1/2017
4172867,42-301-33169,5/10/2017
4172881,42-371-39479,12/26/2017
4173192,42-109-33040,6/29/2017
4173456,42-301-33172,10/15/2017
4173531,42-389-35645,4/17/2017
4173832,30-015-44042,4/11/2017
4173994,42-389-35656,4/6/2017
4351675,42-301-33208,7/16/2017
4351796,30-025-43591,5/29/2017
4366543,42-301-33210,2/14/2018
4370715,30-025-43663,7/20/2017
4370828,42-301-33246,5/16/2017
4372922,42-109-33089,7/27/2017
4374052,42-475-37221,10/13/2017
4419638,30-015-44143,11/27/2017
4420090,42-301-33324,4/18/2018
4420535,42-109-33100,5/10/2017
4420615,42-109-33098,11/23/2017
4421281,30-025-43792,4/20/2018
4422069,42-389-35989,10/21/2017
4640794,42-389-35667,8/25/2017
4640907,42-301-33126,7/24/2017
4640962,42-389-35506,4/22/2017
4644026,42-389-36067,11/7/2017
4644588,42-301-33466,11/20/2017
4647049,42-301-33503,9/30/2017
4657780,30-025-43934,12/7/2017
4661910,42-389-36303,11/25/2017
4669064,42-389-36299,4/6/2018
4671558,42-389-36357,1/5/2018
4673176,30-015-44443,2/19/2018
4673269,30-025-44023,3/3/2018
4674198,30-015-44477,4/30/2018
4675377,42-301-33721,4/9/2018
4675458,30-015-44512,4/15/2018
4728081,42-301-33684,2/19/2018
610724,42-301-32234,10/11/2014
643218,42-389-34793,5/17/2015
3231166,42-389-35157,11/26/2016
3763067,42-495-33734,7/1/2018
3872193,42-389-35378,9/26/2017
3902219,42-109-33012,7/19/2018
4368083,30-025-43627,8/17/2018
4370718,30-025-43666,8/27/2018
4371198,30-025-43697,7/25/2018
4419144,30-025-43746,8/29/2018
4419146,30-025-43748,8/28/2018
4420993,42-301-33345,5/11/2018
4421280,30-025-43791,8/3/2018
4421603,42-109-33107,1/1/2018
4422123,42-389-36000,5/22/2018
4644528,42-389-36091,7/1/2018
4644529,42-389-36092,7/26/2018
4644530,42-389-36093,7/26/2018
4655904,42-301-33296,4/25/2018
4668210,42-495-33918,11/11/2017
4670941,42-301-33650,7/6/2018
4671118,42-389-36349,5/1/2018
4671249,42-371-39614,7/1/2018
4671255,42-389-36327,2/6/2018
4673425,42-301-33671,5/2/2018
4674847,42-389-36466,6/24/2018
4676445,30-025-44150,8/6/2018
4686001,42-371-39655,5/29/2018
4686128,42-495-34021,8/27/2018
4686274,42-301-33812,8/12/2018
4728391,42-495-34002,2/20/2018
4728757,30-015-44633,6/10/2018
4729158,42-389-36729,6/21/2018
4729761,42-243-30116,3/23/2018
4730122,42-389-36767,6/17/2018
4732895,30-025-44419,8/8/2018
4736695,30-025-44557,7/25/2018
4737186,42-301-33923,9/11/2018
4747442,42-389-36950,7/25/2018
5269975,42-389-37137,10/15/2018
506360,30-015-42495,11/1/2014
506922,30-025-40981,5/8/2014
511279,30-025-40303,9/4/2012
511284,30-025-40449,6/15/2012
511641,30-025-41251,11/23/2013
512394,30-015-42501,10/3/2014
521210,30-015-42929,8/4/2015
4641936,30-015-44241,4/1/2018
505316,30-015-39413,3/24/2013
505517,30-015-40196,10/2/2012
505941,30-015-41133,5/8/2013
506180,30-015-41740,5/13/2015
506252,30-015-41775,2/22/2014
506264,30-015-41949,12/23/2014
506919,30-025-40947,9/27/2014
507821,30-015-36951,6/2/2010
508269,30-015-40222,2/8/2013
508426,30-015-40822,1/18/2014
508899,30-015-41951,7/15/2014
508985,30-015-42150,1/23/2015
509081,30-015-39308,4/21/2012
509518,30-025-40428,6/20/2012
509934,30-025-41175,1/9/2014
509949,30-025-41361,5/20/2014
510115,30-025-41544,6/12/2014
510121,30-025-41640,3/27/2014
510196,30-015-39487,5/8/2012
511152,30-015-40829,12/10/2013
511633,30-025-41122,9/1/2013
512153,30-015-41899,6/4/2014
512284,30-025-40534,12/10/2012
512303,30-015-42145,6/8/2014
512405,30-015-42669,9/7/2015
512934,30-025-40618,2/19/2013
512941,30-025-40783,2/12/2015
513066,30-025-40902,8/6/2013
513113,30-025-41701,9/3/2014
513746,30-025-41174,10/22/2013
513853,30-025-41843,12/3/2014
514003,30-025-42293,9/4/2015
514391,30-025-42946,10/17/2016
520958,30-015-41614,5/25/2014
521037,30-015-41788,6/2/2014
521514,30-025-40536,10/9/2013
522290,30-025-42936,8/1/2016
571894,42-109-32570,11/21/2013
572020,42-109-32831,6/6/2015
580075,42-109-32353,8/19/2011
580083,42-109-32428,8/11/2012
580557,42-109-32656,2/26/2015
589792,42-109-32659,11/26/2014
591789,42-109-32722,2/21/2015
604024,42-301-31705,11/1/2012
604030,42-301-31754,8/11/2012
604291,42-301-32061,4/10/2014
604680,42-301-32428,5/24/2015
604819,42-301-32498,10/2/2016
604823,42-301-32519,9/23/2015
610590,42-301-32116,6/7/2014
620663,42-389-32303,2/24/2005
621092,42-389-33490,2/27/2013
621168,42-389-33727,2/21/2014
621637,42-389-34203,7/25/2014
621651,42-389-34309,12/15/2014
621775,42-389-34424,6/12/2016
623927,42-301-32021,7/30/2014
624224,42-301-31822,3/17/2013
624269,42-301-32560,7/8/2015
624271,42-301-32569,11/3/2016
624384,42-301-32797,6/16/2016
624473,42-301-31628,12/28/2011
624701,42-301-31872,6/10/2013
624705,42-301-31887,2/25/2013
624795,42-301-32627,12/18/2015
624910,42-301-32809,9/20/2016
625445,42-301-32006,11/2/2013
625754,42-301-31999,4/13/2014
625889,42-301-32195,12/9/2016
625896,42-301-32220,3/16/2015
625968,42-301-32448,1/7/2016
631837,42-475-35996,1/3/2013
632523,42-475-36931,2/5/2018
634889,42-389-33213,6/17/2012
635924,42-389-34601,11/7/2016
636251,42-389-34977,12/17/2015
642681,42-389-34063,8/1/2014
644739,42-389-32940,2/28/2012
644852,42-389-33483,3/23/2013
644853,42-389-33506,3/20/2014
645106,42-389-33493,5/5/2013
645163,42-389-34028,2/25/2014
645736,42-389-34532,1/10/2016
645781,42-389-34297,1/5/2015
645871,42-389-34067,6/28/2014
645883,42-389-34184,8/12/2014
645889,42-389-34232,8/5/2014
646094,42-389-34598,4/5/2015
646171,42-389-34853,9/4/2015
646223,42-389-35114,6/13/2017
649029,42-475-36054,9/24/2012
649339,42-475-36254,5/25/2013
649684,42-475-36557,7/4/2014
649859,42-475-36820,6/28/2015
653223,42-389-34214,9/4/2014
653353,42-389-34327,12/15/2014
653599,42-389-34898,9/2/2015
653604,42-389-34949,12/17/2015
655232,42-475-35963,4/20/2012
655437,42-475-36268,1/10/2013
655554,42-475-36500,9/10/2014
657973,42-475-35950,3/17/2012
660164,42-475-35803,9/2/2011
660816,42-475-36685,11/6/2014
679825,42-495-33673,8/5/2015
731108,30-015-39822,5/18/2012
731151,30-015-40427,2/12/2013
731227,30-015-41286,8/1/2013
731286,30-015-42449,4/16/2015
731298,30-015-42889,4/21/2015
746651,42-301-31696,5/28/2012
746688,42-301-32029,6/26/2014
746752,42-301-32570,7/18/2015
746762,42-301-32669,11/25/2016
749219,42-371-39221,12/11/2014
749628,42-389-33303,3/9/2013
749719,42-389-34079,6/8/2014
749762,42-389-34392,10/11/2014
749819,42-389-34879,9/11/2015
749823,42-389-34916,10/27/2015
1066622,30-015-36430,11/26/2008
1067085,30-015-36916,4/30/2009
1067295,30-015-37146,4/1/2011
1067351,30-015-37207,7/9/2011
1067740,30-015-37627,8/1/2010
1068206,30-015-38117,3/5/2011
1068541,30-015-38488,12/1/2011
1068630,30-015-38607,8/2/2011
1068672,30-015-38659,8/30/2011
1068991,30-015-39349,1/24/2012
1069656,30-015-41210,7/20/2017
1070085,30-015-42173,8/24/2017
1070309,30-015-42552,5/31/2015
1070548,30-015-42880,2/15/2016
1070838,30-015-43233,12/14/2015
1070870,30-015-43269,6/7/2016
1070883,30-015-43282,1/15/2016
1070920,30-015-43320,2/12/2016
1070988,30-015-43390,8/29/2016
1103853,30-025-39910,7/4/2011
1104097,30-025-40187,12/14/2011
1105273,30-025-42405,3/21/2018
1105474,30-025-42638,2/26/2016
2412047,42-389-34934,1/5/2016
2979534,42-475-35250,10/6/2007
2997096,42-475-35275,1/28/2008
3053972,42-475-35271,11/11/2007
3082062,42-475-35358,6/27/2008
3148666,42-109-32314,7/23/2009
3198508,42-389-32504,6/19/2008
3229836,42-389-35132,3/3/2016
3232190,42-495-33710,2/10/2018
3232514,30-025-43077,2/3/2017
3241349,42-109-32936,1/9/2017
3495619,30-025-43174,8/20/2017
3699384,42-301-32910,10/12/2017
3699981,30-015-43775,7/29/2016
3700511,42-301-32917,9/21/2016
3700514,42-301-32922,12/10/2017
3701896,30-015-43808,8/29/2016
3701897,30-015-43809,8/29/2016
3758050,30-025-43304,4/2/2018
3758382,30-025-43318,1/17/2017
3762736,30-025-43353,4/5/2017
3762871,30-025-43358,11/3/2016
3838735,42-389-35296,12/16/2017
3871705,42-301-32998,1/12/2017
3872163,42-301-33000,7/13/2017
3874348,30-025-43451,6/30/2017
3874429,42-389-35450,3/1/2017
3874727,42-109-32998,10/12/2017
3874763,42-301-33052,2/9/2018
3875119,42-109-33003,6/22/2017
3902804,42-389-35442,9/9/2017
3903609,42-109-33008,12/20/2017
4134784,30-025-43487,10/17/2017
4167590,42-301-33129,5/2/2017
4173007,42-475-37168,7/17/2017
4173239,42-389-35601,9/23/2017
4173359,42-301-33135,8/28/2017
4173389,42-389-35630,2/17/2018
4174064,42-301-33195,4/23/2018
4366555,42-389-35695,10/6/2017
4368474,30-025-43650,7/17/2017
4369813,42-301-33239,5/13/2017
4370707,30-015-44103,8/16/2017
4371029,42-371-39499,7/20/2017
4371031,42-389-35784,6/12/2017
4373549,30-015-44110,7/13/2017
4373921,42-389-35838,9/23/2017
4374064,42-475-37222,7/2/2017
4415806,42-389-35860,1/27/2018
4419025,42-389-35449,3/27/2017
4419409,42-301-33331,6/29/2017
4420696,30-025-43777,5/11/2018
4421323,42-109-33103,10/11/2017
4421663,30-025-43808,2/25/2018
4421997,42-495-33780,5/15/2017
4640770,42-301-33223,9/29/2017
4640946,42-371-39448,4/30/2017
4643713,30-025-43855,11/16/2017
4643864,42-301-33440,3/21/2018
4644365,42-475-37257,4/4/2018
4646034,42-495-33880,10/9/2017
4646746,42-301-33496,9/25/2017
4646757,42-389-36160,2/10/2018
4655911,42-389-36236,11/15/2017
4656353,42-109-33161,5/24/2018
4671953,42-389-36373,2/14/2018
4674231,30-025-44128,4/22/2018
4674789,42-389-36400,2/13/2018
4675168,30-015-44497,4/2/2018
