well_id,api_formatted,compl_date,xmid,xlen,ymid,ylen,zmid,zlen,NS_orientation,xpos_dist,xpos_date,xpos_id,xpos_api,xneg_dist,xneg_date,xneg_id,xneg_api,ypos_dist,ypos_date,ypos_id,ypos_api,yneg_dist,yneg_date,yneg_id,yneg_api,zpos_dist,zpos_date,zpos_id,zpos_api,zneg_dist,zneg_date,zneg_id,zneg_api,xy_dist,xy_date,xy_id,xy_api,xyz_dist,xyz_date,xyz_id,xyz_api
2862314,4232935833,2008-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3062477,4246135880,2008-09-16,2532371.5,887.0,11492600.0,3146.0,-9018.5,37.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2871480,4232935855,2008-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3080193,4246135666,2008-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2829295,4232935914,2008-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619558,4232936028,2009-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3062479,4246135901,2009-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3214076,4246135768,2009-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788837,4232935838,2009-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2871653,4232935969,2009-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788929,4232936066,2009-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805181,4232935743,2009-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788939,4232936178,2009-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783079,4232935908,2009-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2948847,4238336485,2009-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823913,4232900957,2009-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2996301,4246136370,2010-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801018,4232900552,2010-07-01,771226.5,973.0,11582860.5,1235.0,-5235.5,17.0,True,,,,,,,,,,,,,,,,,,,,,,,,,1763456.4550578645,2008-09-16,3062477.0,4246135880.0,1763460.5127346204,2008-09-16,3062477.0,4246135880.0
3040410,4246136645,2010-08-02,2523976.0,176.0,11485064.5,409.0,-9154.5,5.0,True,,,,,,,,,,,,,,,,,,,,,,,,,11281.319980392365,2008-09-16,3062477.0,4246135880.0,11282.139712838163,2008-09-16,3062477.0,4246135880.0
2914320,4238336958,2010-11-24,881914.5,173.0,11477556.5,5111.0,-5057.5,19.0,True,,,,,,,,,,,,,,,,,,,,,,,,,152776.84955516004,2010-07-01,2801018.0,4232900552.0,152776.95324884576,2010-07-01,2801018.0,4232900552.0
2675076,4217333793,2010-12-19,883959.5,435.0,11556116.5,2331.0,-6627.5,15.0,True,,,,,,,,,,,,,,,,,,,,,,,,,78586.6122504336,2010-11-24,2914320.0,4238336958.0,78602.29338257249,2010-11-24,2914320.0,4238336958.0
2627149,4217333845,2011-02-05,892908.0,596.0,11557219.5,2743.0,-6503.0,40.0,True,,,,,-8948.5,2010-12-19,2675076.0,4217333793.0,,,,,,,,,,,,,,,,,9016.222116274643,2010-12-19,2675076.0,4217333793.0,9017.08165095559,2010-12-19,2675076.0,4217333793.0
2831592,4232936717,2011-03-02,2515049.5,421.0,11553335.0,1564.0,-6761.5,21.0,True,,,,,,,,,,,,,,,,,,,,,,,,,63156.883306572374,2008-09-16,3062477.0,4246135880.0,63197.198972739294,2008-09-16,3062477.0,4246135880.0
743492,4217333999,2011-05-08,875352.5,521.0,11559173.0,2510.0,-6657.5,29.0,True,17555.5,2011-02-05,2627149.0,4217333845.0,,,,,,,,,,,,,,,,,,,,,9133.599577932022,2010-12-19,2675076.0,4217333793.0,9133.648846435908,2010-12-19,2675076.0,4217333793.0
602637,4217334054,2011-05-14,838162.0,724.0,11651794.5,3099.0,-6702.5,51.0,True,,,,,,,,,,,,,,,,,,,,,,,,,96084.63725408968,2010-07-01,2801018.0,4232900552.0,96095.83552501118,2010-07-01,2801018.0,4232900552.0
2872531,4232936817,2011-05-20,726214.5,761.0,11554862.0,3334.0,-7774.5,63.0,True,,,,,,,,,,,,,,,,,,,,,,,,,53009.396773119384,2010-07-01,2801018.0,4232900552.0,53070.167394214994,2010-07-01,2801018.0,4232900552.0
591177,4222736585,2011-06-01,827458.0,1004.0,11676998.5,371.0,-593.0,14.0,False,,,,,,,,,,,,,,,,,,,,,,,,,27382.79080006273,2011-05-14,602637.0,4217334054.0,28056.072823009283,2011-05-14,602637.0,4217334054.0
583018,4217334010,2011-06-13,920945.5,741.0,11530891.5,3209.0,-6333.5,31.0,True,,,,,,,,,,,,,,,,,,,,,,,,,38461.21410265152,2011-02-05,2627149.0,4217333845.0,38461.58759723784,2011-02-05,2627149.0,4217333845.0
2983131,4246136886,2011-06-20,2524736.0,1098.0,11490581.5,3551.0,-8937.5,101.0,True,7635.5,2008-09-16,3062477.0,4246135880.0,,,,,,,,,-5517.0,2010-08-02,3040410.0,4246136645.0,,,,,,,,,5569.101273993857,2010-08-02,3040410.0,4246136645.0,5573.327372405106,2010-08-02,3040410.0,4246136645.0
2675074,4217333741,2011-07-16,863877.5,667.0,11571057.5,2919.0,-6692.0,60.0,True,,,,,,,,,,,,,,,,,,,,,,,,,16520.198704918777,2011-05-08,743492.0,4217333999.0,16520.234728961936,2011-05-08,743492.0,4217333999.0
